T1_nG1,T1_nG2,T12_nG1,T12_nG2
337.223325313759,356.689960131015,387.5807272947,347.464387971098
241.725395629215,256.830408946358,241.907178448593,240.454989229773
345.654274502381,345.291485383987,312.905607459013,297.919581087777
317.451510629277,307.055543741304,348.324456521713,264.07229627383
237.030644529936,248.478627010675,246.805324354394,213.769378229487
164.451774543156,174.166521952219,161.26389702456,145.057597540381
237.877349872278,246.378064675811,246.700426182475,211.502354601537
200.795907042907,205.472266832784,204.524649438219,170.42457390029
348.412872968778,359.361607227446,356.777090020738,309.447134227778
289.172201234639,293.138099562738,322.516720737441,263.557287233557
237.27347229808,239.99526870531,259.030021474641,214.968018672402
251.805588396827,247.516989838956,277.345797828655,236.414022380837
341.209418730831,348.767825433553,332.146691334383,275.240242819446
191.725714191914,192.479967511794,204.386602380284,172.958203224011
260.668399773696,273.220342986956,240.351753945826,210.27261086823
282.186075956822,282.939947808027,311.781786377369,255.344432920938
268.602520730627,280.045128733876,275.502870292593,239.071588438963
198.816856080454,211.269643589269,219.033491594743,197.307496364244
230.547799541702,230.442309467833,225.087019007196,195.156176640494
283.775371429218,287.109608239396,284.513569208225,248.358508719452
192.061466112764,188.862676452127,194.991603339059,172.46652338953
236.082365719495,246.865757504908,253.338303252268,210.553302031372
263.620539939387,271.428698697918,292.196623080291,240.197522557129
286.207942527865,309.123718473374,282.587707441982,231.377463708855
208.585883678756,209.079589140716,169.47749754724,158.189666813105
261.179780522446,262.810471345196,274.407432857145,228.537549903676
221.809772382678,232.926525518941,233.593555980117,224.098566973272
182.015642355519,189.650242397933,187.205465045926,164.207259758308
311.048197572083,335.717889159088,297.357518046944,275.660765931129
259.246958073713,251.895066419927,280.623752360035,214.988466004264
275.566971792284,271.646750224364,257.109204062753,217.343251267045
277.325449568846,283.706188507146,304.352476636569,257.181095688922
307.603033921161,314.008865797575,330.1456678327,284.246763680569
214.600779063764,219.506527078876,217.884490766033,207.78413352679
346.228887223992,332.65336478519,352.897604916355,274.465605424725
267.32237851191,265.070725288375,267.367731391497,228.099339575206
222.408391014018,226.443720692458,216.00058990712,194.673215224201
250.785145618898,254.960050772935,259.217221827057,217.56644943755
287.980584409931,290.632159301086,298.827164688077,257.739434813171
235.526250242389,244.041984701808,232.796721814489,201.123423309776
191.183659916747,195.58027989704,176.009914281055,167.122373078337
235.604860073524,241.670737682939,229.735299071232,209.423397826335
188.757730900898,188.171558167326,215.972578659537,177.581894131876
274.621435043516,275.724481123269,284.811957480051,231.941253602185
235.014027116279,224.064858442788,272.733554388501,204.078834298487
185.623024533716,191.401829350932,167.899128720724,159.212669792708
194.77740847433,198.628140780215,156.470408503439,161.835029198102
193.123056092116,189.928991617625,163.040675581038,129.665794730391
246.262738670864,244.167995054629,259.426591342166,204.571187975919
250.258261404935,259.646394052591,254.900003122801,228.395555552396
342.296542196841,366.942874108196,352.062216413855,320.561795785867
193.265860624397,196.318063800139,185.334030712789,161.699946167661
240.96988596692,246.360371940009,223.48541430682,197.498993142882
176.960217052821,168.941782358516,180.679510555401,154.604930946906
232.655303242439,233.666633302298,227.349741958992,202.315938144555
235.617311337296,236.114800307267,249.850077754305,202.939345100806
261.354370709118,261.44576887481,261.327497289956,219.99288316127
244.266564148148,247.550719358555,257.713202266461,236.238190545459
255.067756369289,247.273630518082,227.369294806202,200.485642625237
266.048754419491,268.569415896555,237.417436499622,208.097573349874
243.408156176011,236.140303635757,242.881947500412,211.819699498082
216.43816181719,211.651752069139,230.500540989092,201.476253916812
265.952784219744,272.332548873378,305.180711334346,251.498386896911
253.94250549295,254.350788910465,266.61741534221,195.791617890488
245.405367087426,250.371289730422,254.849547625353,224.599343002702
182.367729394658,180.711382430893,186.050722729936,164.830030376042
234.782127259775,256.69102952847,234.960721738631,193.897313555531
259.099880874644,266.284587961899,295.690318153657,243.463291785155
260.411394772539,254.584660106696,257.115826525902,190.579318093241
229.572273858749,241.682270420777,214.184875964981,186.102905615853
222.518172248745,219.894415483586,229.306684092108,180.467818322487
212.837838442625,219.790921861734,207.754437406299,188.118207356437
227.721029569706,218.44440402911,250.93793917818,196.202793870551
228.342730318497,235.068305784925,225.906150302091,210.48855890685
213.945936263366,213.357208545106,194.996865019893,169.921967624865
166.38356844781,170.331244429873,156.517662133399,134.467737968899
184.735967414164,183.484677865593,206.250105478606,180.802931306073
253.545334289454,258.729585055798,267.267096734621,235.034525970686
280.894396920199,279.162299061704,324.306786565072,274.625968373096
216.031381114858,219.142570887922,251.79738103687,205.846578081171
222.644433031312,220.245221261733,262.963692308703,217.010668450298
255.860731025962,247.12861909774,242.141679178956,185.850248721777
218.425699730222,222.889410715592,224.186671159979,189.674508774335
237.177645844903,245.905214728985,239.933513897351,202.930849714847
230.29794730792,232.532019597571,237.549538605301,198.973360353321
274.458221875969,288.714644671998,287.811629257515,242.399888418133
307.045406248626,329.428771761902,279.44149620017,248.030814941094
194.686601950526,185.103759098917,211.600650852196,180.442543847565
262.48503467183,269.032068323138,269.894787616105,235.72492493323
225.294214057052,241.990167503596,202.688411246157,177.84985708658
347.144980933694,361.645963808862,389.469560513419,322.171200674763
298.654267475284,312.028116525773,262.220351925753,232.913379221898
239.120791009438,252.791673572958,252.844920187158,233.801155244469
325.18988104705,311.865975412185,310.190693244949,235.77390486682
355.438235606134,348.187332861003,357.601114626596,284.705897240247
211.940141422948,213.112133997457,228.464705201766,195.437493104761
212.206327570503,206.821309409391,229.552834274196,177.171863036853
263.914958631731,252.066354909001,274.216696822307,201.458809963564
232.418874192286,231.665237647058,240.058968952281,209.065715264833
280.318475144685,288.096630400415,300.232690901816,250.582527379875
316.271626025617,305.670226217952,348.72668001242,279.244581773193
186.632548248807,187.677824982451,198.150440932889,179.771418038465
240.220981424658,248.156341640394,228.138832099234,205.425106459517
200.231101400573,214.94246572887,219.748078067966,193.518196236707
284.385119350796,293.493185768479,308.144664091699,270.924219858828
217.639937043293,223.796254188858,225.614365336925,182.490563151728
207.784873421529,207.331570780883,217.431861357347,185.928536830432
301.148449237548,306.496247751495,269.401820407164,234.537726754546
194.854994507713,199.694944672461,202.002562142251,172.711408541071
186.609165004351,184.763366878812,218.946135467168,180.087004882234
256.121757792633,255.655821415945,226.582550614034,196.223218977882
276.063944183569,281.368523631184,271.847398644138,225.6361146589
249.359752054803,248.904507875997,255.808398860867,207.811162511366
215.510071819823,222.864674267827,208.316800706396,185.776713349402
291.210369079509,310.378647004783,349.803806619878,311.464331296899
404.719596217894,399.839375700897,277.089655399177,235.630692554197
177.360433776561,174.375765839969,184.657372197386,157.623467861768
236.572960096251,237.445691866565,250.45072327066,191.766280117413
304.67098032904,358.583221762624,397.389917820317,304.543053931078
247.458584668895,256.904422085879,245.074042634397,221.664211674308
236.823113962842,240.812004712802,218.347677699991,188.090166786147
238.003101689237,240.404277056215,264.720428820337,219.541548353224
179.555892582653,178.272218030608,165.242732854081,138.654842048612
275.137724236775,274.676486598457,231.911605044878,202.27330377708
221.675668297662,228.658035099016,272.013522558681,234.785612434821
227.700644883595,242.522145363553,257.614800648191,214.810941275081
261.040901872875,271.573016358449,310.601498377388,258.869596506526
259.859714518264,261.741766114239,287.052486770656,240.302996063901
212.472168931433,219.376578692531,230.42610244452,202.071245605093
283.463159057561,287.127752734519,318.417326361207,258.833788697537
240.952289691227,249.07814485853,220.704617368236,198.033577762098
272.600688057285,286.827690931907,237.102022414326,203.035357326102
175.299684064494,186.653642050786,179.359071188036,161.660804047136
374.72785810885,382.181292732562,297.503905761115,262.952448607479
350.876408882085,366.633236378079,356.001221623787,297.600569357284
237.536885227161,238.979458702575,254.936730454999,209.842815705819
225.111415506251,222.71029702814,228.595087702308,179.988157834115
231.053659557854,239.230058766219,236.983427258842,196.945751149816
200.95438061045,215.041603176962,196.805823836173,159.587513001327
250.660469568908,266.548062410899,285.236633345049,247.349398441671
241.071944013446,246.285300967766,233.869444771676,210.112505233664
178.435709441979,170.19512544245,202.975115921776,166.654684715552
218.180339411801,224.935714929165,238.152433004285,208.748048390405
407.030778515833,399.431273539878,313.629730112919,262.735568626955
301.184109782557,298.867690304596,341.289692950151,275.140397912527
216.39011188292,228.386539107136,204.430117063603,180.828544365728
141.778506025984,152.900241289508,147.808193783766,145.33603727539
248.028109948659,249.350227028912,254.384124687149,218.701891991242
220.473778033082,221.774135108356,231.18918242445,206.568993557965
219.289521124085,226.315272174081,206.350452448503,198.1140863944
257.754151167229,258.24769806084,246.474128526872,209.816602126321
230.360158162275,230.27640292593,241.323609475586,197.452494887548
234.006013154202,247.556426270846,254.034351621025,221.098077372039
219.720417972907,222.407061817575,227.108851705132,189.394900330083
225.929853469193,236.912107946429,230.28748970661,191.283970311056
251.816300951363,249.741734210254,267.786387585847,216.641320378893
300.814231201959,301.576706879211,327.99303591907,251.800081791495
263.400574263599,269.718831793977,279.21421794567,225.141845238432
169.406108474788,174.612295033628,178.338216425475,158.593998243435
223.158101898881,221.465378364519,233.913845087086,195.556338397463
231.455052621111,225.644806437787,249.94000069887,189.860104481907
198.854834686177,206.689669296545,193.94050815628,180.941616647416
258.648138715452,259.347798646441,265.286082128366,221.994204662236
228.811635225448,249.786179468219,264.304313794543,238.78885808916
215.952662394932,227.001664636986,210.108785321793,176.258073837033
230.336880059467,239.078222359655,245.246041762225,209.848154461761
276.080096535603,274.727970667578,286.671515073312,221.864169444863
374.148473624172,385.932149846367,368.465298312706,297.509935949838
197.238487539461,198.770396563365,210.735682122154,175.797568673948
249.087481865045,264.024548830121,228.590560847071,215.883314736654
187.003591051835,183.742139565858,210.584494345691,172.798616985816
