T1_nG1,T1_nG2,T12_nG1,T12_nG2
490.051211604099,513.005418534593,460.211019867253,498.103196279328
510.613997418575,533.732595543528,467.784004582935,512.668685899718
497.937783698187,519.584358626722,480.829385940261,516.736825473361
437.57152549681,457.430248534328,404.081278064419,440.846081271895
428.801312816476,441.691565634413,385.709585960241,427.540317234885
521.421778116524,532.385401443029,488.726530085393,521.954226268421
499.91874138521,511.547498645068,465.187908898358,503.6090160935
416.251424563173,427.324932310206,382.936638988,413.808301915297
443.231885282956,456.580596625715,429.610226766798,455.353419577817
399.884174984788,416.826732103064,361.204555360536,408.164894000332
482.933829832631,496.614869618948,462.441940106751,481.946364187813
478.087755089116,495.651693951632,450.535915386329,480.260460484558
481.835754944695,497.90932307,464.169968460276,491.276175159787
394.990600915805,403.677317906592,362.230571850703,398.375603426072
499.228668374808,512.397399165031,471.86901046994,500.682944863305
446.707631607274,464.380651805151,417.475981475092,457.08747896733
507.380937126783,520.891652284581,472.549819813177,508.199695162239
484.812991394777,497.298019638571,436.775164388666,478.955570814897
465.247988927272,478.721365513848,431.644526282374,465.325376285429
509.077370717192,522.14287748507,474.710892522168,508.912570740434
449.778342707523,465.602037515815,425.994799162823,460.858906562936
468.339592353863,476.053351815949,440.380944006023,471.888607384262
467.809479258816,482.745788418774,434.797961380142,471.148155225807
523.552766034525,533.708180571459,495.507922622234,526.526983780389
431.324210564376,439.092588215558,394.180536360139,424.881335243285
400.359941126604,412.322532095806,369.160849191063,405.087488834402
531.714252875382,539.18550630366,502.700398388,539.198805942811
405.444814543215,414.30888776212,372.517834196675,399.388362702069
493.666074562043,503.356626455351,452.066543026126,490.722241527947
489.324995763873,505.197926538045,462.491932109968,492.56450850278
497.022657357883,509.328420394701,462.234958210542,502.537689056461
431.214096410367,444.627052946221,409.851876135475,440.633470611637
367.929030820656,384.783597531604,358.595190013657,382.457984981188
496.270659676737,511.821084452111,434.807087627837,481.976096677552
405.118982858009,417.82737419634,399.198051937692,424.999227651112
442.790678773118,456.9545752988,426.679668802109,455.142399363716
486.404752813864,499.054060251008,439.95530989302,484.883764058939
433.261676403333,446.566127526372,409.42045372818,439.328520732757
457.950304972268,471.065384503168,430.129123682235,463.01208355348
491.704398456754,505.430241205511,451.429072210398,483.955446723735
516.053835539333,529.334282914643,470.756409055982,515.802857849104
460.862910100209,471.587433382645,438.345534517069,474.883814934297
424.836377635084,438.231184868136,400.19680407794,426.490664649743
417.056323478037,427.849417047606,393.462041298205,421.744923285484
434.212142591336,450.437664609546,414.097986714399,442.343782608598
445.66728160774,454.740334330935,400.073091606908,437.862035821721
490.612321355351,500.50833776561,456.965573564084,481.818126012189
368.714705256792,383.3124618252,356.665538151367,382.719597752682
437.839863125061,453.185605498971,418.487755284235,448.153480055016
545.322971053451,560.359138497493,513.021193787425,546.338455182371
450.032044880333,460.978354212924,419.213556866171,445.985217748917
384.016669025664,392.909403239188,360.788447226472,388.856977938803
530.140919247151,542.788422968464,488.416793387758,530.186201943964
371.016502906395,378.401221995236,348.299744145673,371.868677055066
463.588772391937,478.198414149404,421.407320382082,461.211526999042
389.344234037782,399.244671356616,351.439616534291,385.092029749543
528.501957721959,543.88562660291,496.891954707259,531.362055282917
442.425976266091,455.134002264931,414.691060311002,442.951492074448
466.233813136252,479.401260787164,472.78613662437,488.837393478576
465.618295328936,479.98805233505,429.546261944436,465.826371382061
432.355134021996,446.785444200507,401.236329685914,431.985757506564
485.797912058109,495.951304442945,451.847594301668,488.057016753059
497.63091078712,509.656226547996,470.001830954278,498.077267001489
408.217589016599,420.81395062714,381.568844110768,413.118786144614
397.669349662993,411.562272445003,356.363699500567,394.786667097592
465.055732772505,471.294397201413,438.979433113581,468.809624847313
463.03551392115,467.83837736989,427.278510326505,455.463171787714
435.928539818294,450.084319110925,414.802066186207,443.593492921413
414.098086168354,426.608484876769,388.996846509666,422.806968346925
373.575756714339,380.77493998749,354.0009093068,379.01280512917
443.920835539428,457.896893677982,420.011345366637,448.792129562955
433.817114366504,442.870390484471,404.989692919594,429.323015739411
395.025062115574,408.539077111674,378.347611661339,403.416998272672
430.858720822301,440.904197856121,394.201757813265,429.454813153517
439.075591358599,448.060836734537,396.35638303665,437.518332304631
389.464423472584,395.91818529298,353.752723690661,381.076102503563
473.335461510533,481.635159109266,451.89410541704,475.105140546676
475.593968195649,491.568536355878,453.883100533663,486.560979418508
517.683242082812,536.48326595699,489.980387447523,520.638954310905
340.012805643708,355.674462254823,317.838337558598,352.294034458424
500.640209774835,515.997534333248,486.865537309578,513.200371717575
420.087551616831,435.070276219819,402.720549199744,426.907397748353
399.250036063732,413.301559449844,377.646314581329,404.719523813569
389.448771075527,401.830886597035,369.305149799815,403.087310859782
500.553670820997,514.444577614393,470.456863047498,504.7164639723
456.673531478194,474.536189698271,434.645811285598,467.881099451198
514.751316155171,522.221452360353,482.822810830022,521.170008810244
374.948763319631,385.042329245849,346.325732851279,375.585262474925
430.888564797249,440.140962438233,406.419182940981,433.10133249016
430.460992802494,438.321924942374,397.928785605919,425.199972205652
442.299309954083,452.711115308438,443.721271612098,453.107677045124
538.048541130062,551.953015405803,515.689610690853,550.411168738683
511.265534769895,522.894127032453,472.827351203507,510.829618485496
507.195133655344,523.448587330511,478.535418650933,514.430961129224
456.53606715128,472.496923135059,427.749656531387,457.014901546219
403.985370391887,415.636361704699,375.785386634935,407.607424746047
446.403635971606,458.537813009083,428.806441186816,458.978186971552
442.777547746887,457.100563090254,423.962322815384,450.232173749133
456.780980314578,465.652813156036,414.978261190927,453.15547841112
464.525964202975,479.307480420449,437.747383585549,467.421704106659
429.450002352785,435.577599588917,395.736799402753,415.775102968568
452.818472433031,465.196646001797,424.232090023774,456.262256938375
504.072604191855,515.173888565136,471.11479028419,504.738483666986
462.165973780986,474.850217659046,431.643673326929,467.831662048714
479.621867491145,496.726050242758,461.562794260965,494.585927359316
413.425124833299,425.785517067636,401.144679010375,425.715260988035
463.52854199964,475.001415709057,429.744167024375,467.475061091372
402.64659668144,418.908776542622,369.341448389062,412.177467958693
439.747749886404,453.349834603718,417.029579018706,449.996528144691
394.718515554185,409.977416461751,365.514121754554,404.460779678929
465.222270653739,475.190916993637,440.133789714955,464.793068206333
428.388042809386,442.20629640325,405.730750961565,443.15449174299
523.269032052823,540.763627589341,495.745196764573,530.981987521139
516.99999909285,525.004120810371,477.633246016979,515.270107508219
510.444265438307,526.297979162129,481.866060829019,511.764903917912
491.080879871621,498.440068119041,474.826530247771,502.739993612716
404.280358081864,414.137141741535,377.549872462566,404.291559973834
492.278710028003,506.587126654257,465.793410075212,503.011804207907
520.913583905182,544.514397802129,499.31530283564,535.772469763663
442.092952440122,452.842446892668,418.924583259475,448.979034958776
471.35392147227,483.061298130068,438.415240516305,475.980888124689
356.021204691034,372.478963283998,350.192132442897,371.453946918808
370.826786975324,380.13720478879,354.600998547934,381.543981373321
512.194667562461,520.915381273395,478.770878685664,517.47677903943
370.432135826254,384.937178838943,352.158946099447,378.51122956245
404.558149495965,418.135342631651,382.922910154959,413.725135501942
382.051078269526,401.764463962701,370.944461899415,395.050139571122
510.08213029179,523.058600054136,484.055641173857,513.973402224105
472.389952255797,490.04733746701,450.648546468354,487.156264583771
437.047135081492,457.407195802614,412.070021660717,455.938066667899
505.47421275836,512.216832354035,470.467539230283,508.358249989359
463.49395098408,473.359379792329,433.529220349176,465.896719965928
442.556404173552,453.109414196925,403.071903920283,440.062567150436
469.308620686778,482.163090742638,447.075230510075,481.46291151499
524.238520904981,537.213017481852,491.75875111079,529.816052457818
432.939965075137,445.673981536894,410.880339098527,440.726352195238
398.209387471573,409.455983476435,376.802083634226,403.239391748891
525.558204680811,537.452892611624,489.511234416123,528.166901181168
390.538067630388,400.625841608653,364.174421235088,392.596005433677
556.46900781285,566.597872443837,530.788047632166,566.472550744538
468.382899995726,483.955803929617,442.240395258384,479.358136515929
334.146309915574,344.060039469316,304.198888552308,335.421322581637
432.415349269289,450.501286085325,399.441184775322,439.819450149621
560.695865376952,569.523339900687,526.058213037398,578.529033310748
481.342047847412,504.287943560282,447.105559256435,495.557094957348
456.020108822179,476.440121119837,427.69393577776,466.790057536115
372.240266993313,377.774598540666,347.604217527653,374.039670029532
360.661738037815,373.265137546631,326.005418533215,356.47495974572
453.95109719203,460.218002893956,425.521638034475,454.404593193402
520.116231452778,529.659690852075,478.893537404449,511.364444471172
467.48079997162,482.772296194623,436.961742656032,476.456428853176
479.591848995826,494.670626221239,453.858952264897,484.72806559071
407.273674160007,418.345142039024,376.59744380918,411.944429444832
379.476126895436,389.701479353117,361.750220879291,388.679186087107
459.286056874703,472.874077571973,421.41355994842,458.277654248821
427.831756468554,441.559039365917,423.234567435677,447.307761852831
493.139637574221,509.428544744456,489.031151910351,517.916533053483
420.447740389609,431.978788831173,401.173007571968,425.42910497811
475.310332758147,486.127107504078,452.763039848056,480.326722561095
401.53372548545,416.406081621988,382.45118968278,408.211918876045
451.551414539497,462.163489360973,431.215113491224,461.080178230247
523.109507927541,535.101133611967,486.934515451429,517.522607409069
505.662230032865,523.123092407552,497.049679446952,525.37251808614
505.170337293312,517.867895472611,474.646358779613,504.50056444208
447.555816702413,459.521430778058,426.184723441487,462.460277150473
419.12534670996,431.173915293441,385.868077603556,420.183930785859
457.265847166459,473.170833315167,430.379576890956,461.867743677456
497.076624678203,511.048688879125,477.397489906751,507.903749453456
369.608692672493,380.240101170563,355.843782689423,377.676602336686
530.133273970299,536.863703322254,490.473262237361,522.402718119328
398.798536061811,412.205616489916,363.776196015412,396.893616489848
497.401668672285,508.241794810272,467.719664549213,495.627130743792
418.806368991715,427.821010164337,387.811141042676,418.603463486938
527.192586696506,540.895773867632,501.21842775373,529.804824795041
369.504120786737,386.567861016709,350.62196826431,380.397275799695
472.049688962311,483.072467595959,447.751930604295,476.134372492702
505.397683490226,516.685340487474,455.69448148481,497.228137313162
451.175829283516,456.049821299559,424.709574013436,449.955686477009
511.94454804267,529.371711530685,478.707170429267,518.764292224714
589.104726033109,601.45651833103,559.680813757279,600.313879445237
522.378911660664,534.395090123849,488.590766955614,524.784868152974
475.015748161823,487.838532200784,437.558695102681,472.179263360875
579.096710983176,591.343839976351,536.741095129277,572.536875932979
422.244605081426,433.028958000544,396.468881789778,423.807020010852
530.838228020289,540.18999493268,496.1438835389,535.550363151938
463.299394920357,478.824236209399,423.734848478328,457.592955700601
392.705167417112,402.079163415931,361.862512474802,398.583575925593
432.251916515181,442.110905853259,402.130408774888,427.651136862075
539.756177737743,551.454134823398,490.746220405944,540.044623433315
527.886150249803,540.453002408486,493.040590102541,529.475962116003
564.514844248695,577.038001304951,529.543757008618,558.483463790042
440.155728116453,450.792518255629,412.009613618112,445.83764166412
390.632148095913,402.343145223574,370.878041463144,402.450433950626
384.517919724481,393.313067934296,371.378718807119,401.829717456046
510.803817202654,523.669651053726,485.501713300528,518.178070292108
344.950995287698,355.786389416096,320.984084265362,347.191511953095
460.400646357742,472.185615995897,437.881112692591,470.395604529876
478.819140483141,493.806613549521,453.925845760383,489.184455792523
448.850282355097,466.005582885636,427.731251291696,457.934050788332
424.887707850301,442.982990614614,401.55933798746,432.454146108424
438.377904657357,451.825353008036,412.094855071469,445.292977658374
564.794416373317,584.721452360289,541.583728773401,577.860363434002
506.433530866286,517.675283305986,499.014064811301,522.468123238059
527.94462138296,550.777507194816,526.084773609727,545.737377922488
439.608762319353,465.792178107343,422.945914261064,457.63880920894
485.98584066603,505.540161932235,456.402980491955,492.364986770142
439.551088660435,452.300162797865,417.695278374457,444.79098639944
451.39587394241,463.744630335743,432.245242089899,458.567240280327
497.98380934552,515.149946396992,473.553234698772,512.106935866681
391.162209630814,406.24856660843,372.628146876341,402.259186540109
451.337904254517,464.519944986199,424.774763932647,462.719933494615
328.559527358172,346.669906740471,315.008329484005,338.856167832759
440.131739293889,454.632003928977,436.400851903443,460.443213356895
528.185424862478,547.079297235065,515.243388629772,539.182088606555
403.781977014197,412.691680447966,389.597050260181,403.584893811078
466.757928761791,479.722496615353,454.000229797206,482.631119823376
405.018394399315,420.787548033038,375.218658693535,413.365438737936
418.471242272011,433.251756519931,372.257341056392,423.769955647569
393.170817565637,410.61663296756,377.416176012333,404.120647000036
431.742284664384,441.609689318433,400.964456926312,432.525008596827
427.062434952491,442.319132381591,408.057896691931,435.664648603119
