T1_nG1,T1_nG2,T12_nG1,T12_nG2
7.66931256687782e-05,7.46318126914042e-05,4.67532221954151e-05,5.01569221628544e-05
5.50227154243092e-05,5.61477518987447e-05,3.17199374827961e-05,3.62444180185276e-05
4.63401595889753e-05,4.0649928758429e-05,1.1938785382735e-05,1.43759640524749e-05
1.42954051576745e-05,1.44416914135574e-05,6.82108022551233e-06,8.28377118218737e-06
5.70152100242552e-05,6.74686085354523e-05,2.0126755308431e-05,2.59045523896287e-05
8.80817131957663e-05,8.98965653880087e-05,5.27457565772744e-05,5.37589588165577e-05
0.000151989717911078,0.000141225355941492,0.000126948884001296,0.000116964041849895
8.46413024224745e-05,8.74129868119162e-05,2.99882188834239e-05,3.3583025503288e-05
7.54780606498815e-05,7.78487651795249e-05,1.8884708508273e-05,2.0987839739019e-05
2.13886442529275e-05,2.13210634253515e-05,1.1298503982853e-05,1.15168129682865e-05
0.000200862663665565,0.000187210376132165,0.0001073379274313,0.000101772047011093
5.43860488835645e-06,5.5894727257132e-06,1.85572223233361e-06,2.08102135148948e-06
3.34516689414562e-05,2.8478456885244e-05,1.66335454811207e-05,2.16731431575714e-05
4.68154192650978e-05,4.56241014107415e-05,2.58576061021912e-05,2.68587936514072e-05
6.91190860076657e-05,7.25807979586017e-05,5.18646804615059e-05,5.16983665796994e-05
5.85560110269956e-05,5.58514238738597e-05,2.88868736371397e-05,2.78401298618142e-05
0.000125279052269427,0.00011528587665888,7.2472501842328e-05,8.34393530530093e-05
2.02741409983926e-05,2.13929956151094e-05,5.92882455640116e-06,6.24145848656837e-06
1.37196562379209e-05,1.37513034754944e-05,4.6862006184388e-06,4.91436028280469e-06
7.16627389331213e-05,6.54482936999516e-05,2.45989420182743e-05,2.57678594109187e-05
6.80264795961492e-05,5.9844423543706e-05,2.04032483673791e-05,2.10472317401166e-05
9.65074004793601e-05,9.29722871620376e-05,3.09301677464951e-05,4.11241847028447e-05
0.000207001770927468,0.000178241191692863,8.94029137158842e-05,7.34825494629992e-05
1.94321834987232e-05,1.96723599825172e-05,9.950511298726e-06,1.08076184660736e-05
3.29122399235885e-05,3.30391284626769e-05,2.93606230949825e-05,2.53197454251368e-05
3.91556779484025e-05,4.01779311455875e-05,2.05179889401232e-05,2.10773846780162e-05
4.23641081525363e-05,4.24792905628632e-05,1.7867988540084e-05,1.83413422571756e-05
2.74873459129123e-06,2.84661457978366e-06,1.8059615463866e-06,2.16861331701713e-06
3.89761726332887e-05,3.65269541428518e-05,2.29713293566965e-05,2.46862767011712e-05
5.07218027697872e-05,4.71480008824406e-05,1.83258459916876e-05,2.08939075570906e-05
6.47661940394496e-05,6.17867324415943e-05,4.89649806041157e-05,5.24081342987923e-05
5.68921659037893e-05,5.23986268185582e-05,2.46843016395603e-05,2.5403237956951e-05
1.55232452361325e-05,1.55671070180952e-05,4.71242539866586e-06,4.62570502240731e-06
2.90161162312673e-05,2.71931706539875e-05,1.38215293986485e-05,1.44292018894436e-05
1.55647593832792e-05,1.59735848943262e-05,5.70733129169041e-06,5.30284454850754e-06
0.000137201325321357,0.000134828841632348,8.10843279848879e-05,9.16328839923655e-05
1.57917276643957e-05,1.51041749764607e-05,5.48933083323333e-06,6.15290507772124e-06
5.24105215826919e-05,4.91218274776161e-05,1.59699356513056e-05,1.61558153967101e-05
6.96011978982632e-05,6.50739526356192e-05,1.82164103215545e-05,2.08781461081954e-05
3.01426182561738e-05,2.8157420825728e-05,1.0551819912592e-05,1.13039781408532e-05
2.80403293640926e-05,2.85680099411389e-05,1.46456961871286e-05,1.47784703643605e-05
4.65199391854565e-05,4.6985434516933e-05,2.23679583222896e-05,3.24740374021821e-05
5.63909189331947e-05,5.65340265330176e-05,4.07750301684138e-05,3.97930843757536e-05
0.000106388948117856,0.000110513377349784,8.97460559936219e-05,8.72317497831137e-05
7.26152052739088e-06,6.39235949244855e-06,2.84577320025614e-06,2.96597837002591e-06
1.22795212482786e-05,1.22639366445294e-05,5.35146834495833e-06,7.15701880532756e-06
4.97922028209165e-05,4.6791460589533e-05,3.75963084475212e-05,3.64641137722434e-05
5.97715602801555e-05,6.0720995341005e-05,1.18730240505808e-05,1.40774641616655e-05
